order_id,customer_name,order_date,category,sub_category,product_name,quantity,unit_price,total_price,region
1116,Ms. Sheila Davis MD,3/19/2025,Furniture,Cabinet,Cabinet Alone,6,3843,23058,East
1117,Michael Lyons,1/10/2025,Grocery,Milk,Milk Ball,9,1568,14112,West
1118,Joshua Nelson,4/10/2025,Electronics,Mobile,Mobile Budget,5,2734,13670,East
1119,Anna Brown,4/11/2025,Furniture,Chair,Chair Finally,3,1556,4668,North
1120,Rick Sanford,5/12/2025,Furniture,Chair,Chair After,9,4579,41211,South
1121,Amanda Woods,2/3/2025,Electronics,Tablet,Tablet Forward,2,2398,4796,South
1122,Courtney Ellis,1/27/2025,Grocery,Bread,Bread Society,8,3487,27896,South
1123,Derrick Barry,4/18/2025,Grocery,Snacks,Snacks Energy,2,1473,2946,East
1124,Lori Thomas,6/20/2025,Electronics,Mobile,Mobile Student,1,545,545,South
1125,Lynn Garrison,5/14/2025,Grocery,Snacks,Snacks Wish,10,4794,47940,East
1126,Zachary Jones,5/31/2025,Electronics,Laptop,Laptop Concern,10,2162,21620,South
1127,Mary Baldwin,5/14/2025,Furniture,Chair,Chair Open,1,2834,2834,East
1128,Gregory Miller,2/21/2025,Clothing,Jacket,Jacket Image,8,2822,22576,South
1129,Natalie Murphy,1/1/2025,Electronics,Mobile,Mobile Protect,1,79,79,East
1130,Tiffany Cook,3/2/2025,Furniture,Chair,Chair High,3,3372,10116,East
1131,Matthew Ross,1/20/2025,Furniture,Cabinet,Cabinet Car,6,3063,18378,North
1132,Paul Kennedy,3/19/2025,Clothing,Jeans,Jeans Perhaps,6,515,3090,East
1133,Aaron Mendoza,6/11/2025,Grocery,Milk,Milk Official,2,2037,4074,North
1134,Sandra Taylor DDS,1/17/2025,Furniture,Cabinet,Cabinet Whom,7,3981,27867,South
1135,Richard Cooley,3/28/2025,Furniture,Cabinet,Cabinet Much,5,1227,6135,South
1136,Natalie Kirby,3/16/2025,Clothing,Shirt,Shirt Discuss,7,86,602,West
1137,Matthew Reese,5/12/2025,Furniture,Chair,Chair That,6,3508,21048,South
1138,Brian Long,5/9/2025,Clothing,Shirt,Shirt Throughout,10,877,8770,South
1139,Miguel Finley,2/14/2025,Furniture,Couch,Couch Fire,1,844,844,East
1140,Scott Johnston,3/3/2025,Grocery,Juice,Juice Usually,3,3539,10617,West
1141,Alicia Reynolds,1/10/2025,Grocery,Snacks,Snacks Religious,1,745,745,East
1142,Trevor Stuart,3/2/2025,Furniture,Cabinet,Cabinet If,9,2106,18954,West
1143,Matthew Arias,6/22/2025,Electronics,Laptop,Laptop Skill,7,3488,24416,South
1144,Antonio Roth,5/24/2025,Electronics,Headphones,Headphones Against,3,297,891,West
1145,Sheila Booker,6/9/2025,Electronics,Laptop,Laptop Resource,7,1831,12817,North
1146,Anna Stone,1/17/2025,Grocery,Snacks,Snacks Season,10,1796,17960,South
1147,Angela Jackson,3/15/2025,Grocery,Milk,Milk Establish,9,1503,13527,West
1148,Joshua Moore,3/31/2025,Furniture,Cabinet,Cabinet Office,8,2307,18456,South
1149,Todd Barnes,2/4/2025,Furniture,Chair,Chair Hope,8,4519,36152,North
1150,Laura Maynard,3/28/2025,Electronics,Headphones,Headphones Cold,2,4997,9994,East
1151,Sara Morgan,5/9/2025,Furniture,Desk,Desk Put,2,2344,4688,South
1152,Christopher Gillespie,3/5/2025,Grocery,Snacks,Snacks Budget,7,283,1981,South
1153,Brandon Hoffman,12/26/2024,Electronics,Laptop,Laptop Next,6,4009,24054,South
1154,Christine Watkins,6/18/2025,Grocery,Juice,Juice Bar,4,4996,19984,South
1155,Andrew Lopez,4/17/2025,Electronics,Headphones,Headphones Too,3,1649,4947,South
1156,Deborah Glover,1/17/2025,Furniture,Chair,Chair Push,1,593,593,West
1157,Patricia Gill,3/23/2025,Clothing,Jacket,Jacket Song,7,3915,27405,East
1158,Timothy Conrad,1/14/2025,Grocery,Milk,Milk Little,6,4903,29418,South
1159,Alan Barker,6/18/2025,Electronics,Mobile,Mobile Employee,3,363,1089,North
1160,Michelle Beltran,3/23/2025,Furniture,Desk,Desk Me,9,4719,42471,East
1161,Katherine Baker,6/2/2025,Clothing,Shoes,Shoes Visit,2,3176,6352,North
1162,Wayne Lucas,4/14/2025,Furniture,Chair,Chair Impact,1,2876,2876,West
1163,Tiffany Baker,1/2/2025,Clothing,Jeans,Jeans And,1,2583,2583,North
1164,Mark Jones,3/30/2025,Electronics,Tablet,Tablet Most,3,1032,3096,South
1165,Stephen Holloway,3/12/2025,Furniture,Chair,Chair Red,4,1304,5216,East
1166,Eric Floyd,2/17/2025,Electronics,Tablet,Tablet Big,1,3926,3926,East
1167,Julie Adams,3/7/2025,Grocery,Snacks,Snacks Message,7,4444,31108,East
1168,Megan Charles,3/26/2025,Clothing,Jeans,Jeans Card,10,4462,44620,West
1169,Margaret Barton,4/21/2025,Furniture,Chair,Chair Anyone,7,2528,17696,North
1170,Joshua Kim,6/24/2025,Furniture,Chair,Chair Close,7,2140,14980,South
1171,David Dominguez,3/6/2025,Clothing,Shoes,Shoes Each,8,2902,23216,South
1172,Molly Hall,5/8/2025,Electronics,Headphones,Headphones Staff,1,1847,1847,West
1173,Brenda Stuart,4/29/2025,Electronics,Laptop,Laptop Picture,1,3982,3982,South
1174,Kimberly Alvarado,4/6/2025,Furniture,Desk,Desk Prevent,7,4536,31752,North
1175,David Bennett,4/17/2025,Furniture,Desk,Desk Bag,9,2717,24453,North
1176,Christine Kelly,2/2/2025,Clothing,Jacket,Jacket Executive,9,668,6012,South
1177,Jenna Walker,5/3/2025,Furniture,Couch,Couch Tonight,1,4199,4199,East
1178,Jennifer Ferguson,2/28/2025,Electronics,Mobile,Mobile Him,4,209,836,North
1179,Alexander Cox DDS,5/1/2025,Clothing,Jacket,Jacket Indeed,8,1464,11712,West
1180,Hailey Cobb,2/19/2025,Clothing,Jacket,Jacket Heart,6,4285,25710,East
1181,Christine Clay,2/4/2025,Furniture,Cabinet,Cabinet Poor,2,3057,6114,East
1182,Shannon Brown,1/26/2025,Electronics,Headphones,Headphones Receive,6,4594,27564,West
1183,Sarah Browning,1/24/2025,Electronics,Laptop,Laptop Stock,1,1511,1511,East
1184,Gina Bush,3/8/2025,Electronics,Laptop,Laptop Environment,9,3466,31194,South
1185,Christopher Bartlett,5/20/2025,Grocery,Bread,Bread Strong,3,3087,9261,South
1186,Maxwell Goodman,4/20/2025,Clothing,Shoes,Shoes Seven,2,4077,8154,North
1187,Katherine Wilson,5/26/2025,Grocery,Snacks,Snacks Turn,1,500,500,South
1188,Elizabeth Morse,1/19/2025,Furniture,Desk,Desk Discussion,2,3346,6692,West
1189,Laura Smith,3/26/2025,Clothing,Shoes,Shoes Science,9,1358,12222,North
1190,Christopher Meyer,1/18/2025,Grocery,Milk,Milk Best,8,4665,37320,East
1191,Tim Gross,3/19/2025,Grocery,Bread,Bread By,3,4799,14397,West
1192,Scott Smith,4/2/2025,Grocery,Milk,Milk Factor,1,727,727,North
1193,Evan Henry,1/19/2025,Grocery,Bread,Bread City,7,2351,16457,South
1194,Eric Bell,4/7/2025,Electronics,Headphones,Headphones The,2,2202,4404,East
1195,Dylan Baxter,2/15/2025,Clothing,Jeans,Jeans Sound,7,798,5586,South
1196,Brandon Callahan,2/26/2025,Grocery,Snacks,Snacks Lead,3,3116,9348,East
1197,Angela Stanton,6/16/2025,Furniture,Cabinet,Cabinet None,1,1396,1396,South
1198,Marissa Aguilar,6/2/2025,Grocery,Milk,Milk Listen,6,461,2766,West
1199,Timothy Wheeler,1/29/2025,Clothing,Shirt,Shirt Area,4,2299,9196,West
